Data,vendas
2015-12-01T00:00:00-02:00,113.6977
2016-01-01T00:00:00-02:00,91.21754
2016-02-01T00:00:00-02:00,88.45076
2016-03-01T00:00:00-03:00,93.3791
2016-04-01T00:00:00-03:00,89.14245
2016-05-01T00:00:00-03:00,87.49967
2016-06-01T00:00:00-03:00,86.46213
2016-07-01T00:00:00-03:00,90.09354
2016-08-01T00:00:00-03:00,90.26646
2016-09-01T00:00:00-03:00,87.58613
2016-10-01T00:00:00-03:00,92.08216
2016-11-01T00:00:00-02:00,90.95816
2016-12-01T00:00:00-02:00,110.41214
2017-01-01T00:00:00-02:00,91.48123
2017-02-01T00:00:00-02:00,87.8314
2017-03-01T00:00:00-03:00,86.82494
2017-04-01T00:00:00-03:00,91.84445
2017-05-01T00:00:00-03:00,87.53959
2017-06-01T00:00:00-03:00,87.1895
2017-07-01T00:00:00-03:00,90.34657
2017-08-01T00:00:00-03:00,91.7812
2017-09-01T00:00:00-03:00,92.65839
2017-10-01T00:00:00-03:00,93.44556
2017-11-01T00:00:00-02:00,96.00754
2017-12-01T00:00:00-02:00,117.04537
2018-01-01T00:00:00-02:00,94.33405
2018-02-01T00:00:00-02:00,89.55314
2018-03-01T00:00:00-03:00,100.19715
2018-04-01T00:00:00-03:00,91.92385
2018-05-01T00:00:00-03:00,94.54645
2018-06-01T00:00:00-03:00,90.715
2018-07-01T00:00:00-03:00,91.55394
2018-08-01T00:00:00-03:00,96.8461
2018-09-01T00:00:00-03:00,93.09391
2018-10-01T00:00:00-03:00,95.32416
2018-11-01T00:00:00-03:00,99.01226
2018-12-01T00:00:00-02:00,118.83393
2019-01-01T00:00:00-02:00,96.47752
2019-02-01T00:00:00-02:00,90.75268
2019-03-01T00:00:00-03:00,94.3761
2019-04-01T00:00:00-03:00,93.30936
2019-05-01T00:00:00-03:00,93.46582
2019-06-01T00:00:00-03:00,91.40297
2019-07-01T00:00:00-03:00,93.14186
2019-08-01T00:00:00-03:00,99.22104
2019-09-01T00:00:00-03:00,93.26685
2019-10-01T00:00:00-03:00,97.85853
2019-11-01T00:00:00-03:00,101.78169
2019-12-01T00:00:00-03:00,115.23238
2020-01-01T00:00:00-03:00,93.83039
2020-02-01T00:00:00-03:00,94.36996
2020-03-01T00:00:00-03:00,104.74174
2020-04-01T00:00:00-03:00,97.66291
2020-05-01T00:00:00-03:00,102.18091
2020-06-01T00:00:00-03:00,97.29924
2020-07-01T00:00:00-03:00,102.30092
2020-08-01T00:00:00-03:00,102.19893
2020-09-01T00:00:00-03:00,97.30704
2020-10-01T00:00:00-03:00,105.02037
2020-11-01T00:00:00-03:00,99.93074
2020-12-01T00:00:00-03:00,119.24585
2021-01-01T00:00:00-03:00,95.00777
2021-02-01T00:00:00-03:00,90.06524
2021-03-01T00:00:00-03:00,100.68125
2021-04-01T00:00:00-03:00,95.97968
2021-05-01T00:00:00-03:00,97.83454
2021-06-01T00:00:00-03:00,94.35815
2021-07-01T00:00:00-03:00,100.48852
2021-08-01T00:00:00-03:00,97.42588
2021-09-01T00:00:00-03:00,94.24539
2021-10-01T00:00:00-03:00,99.79527
2021-11-01T00:00:00-03:00,99.29806
2021-12-01T00:00:00-03:00,118.7507
2022-01-01T00:00:00-03:00,94.08817
2022-02-01T00:00:00-03:00,91.8808
2022-03-01T00:00:00-03:00,97.29826
2022-04-01T00:00:00-03:00,99.87038
2022-05-01T00:00:00-03:00,97.38395
2022-06-01T00:00:00-03:00,96.46825
2022-07-01T00:00:00-03:00,100.21917
2022-08-01T00:00:00-03:00,98.78697
2022-09-01T00:00:00-03:00,97.78536
2022-10-01T00:00:00-03:00,102.51205
2022-11-01T00:00:00-03:00,102.04472
2022-12-01T00:00:00-03:00,121.66192
2023-01-01T00:00:00-03:00,96.3007
2023-02-01T00:00:00-03:00,92.73136
2023-03-01T00:00:00-03:00,101.62821
2023-04-01T00:00:00-03:00,103.19666
2023-05-01T00:00:00-03:00,98.68158
2023-06-01T00:00:00-03:00,99.56226
2023-07-01T00:00:00-03:00,103.17058
2023-08-01T00:00:00-03:00,104.48636
2023-09-01T00:00:00-03:00,104.74064
2023-10-01T00:00:00-03:00,104.46568
2023-11-01T00:00:00-03:00,107.12675
2023-12-01T00:00:00-03:00,128.2214
2024-01-01T00:00:00-03:00,102.1485
2024-02-01T00:00:00-03:00,101.42708
2024-03-01T00:00:00-03:00,110.41701
2024-04-01T00:00:00-03:00,101.88901
2024-05-01T00:00:00-03:00,108.78253
2024-06-01T00:00:00-03:00,103.1549
2024-07-01T00:00:00-03:00,106.54876
2024-08-01T00:00:00-03:00,111.28112
2024-09-01T00:00:00-03:00,105.46537
2024-10-01T00:00:00-03:00,110.39785
2024-11-01T00:00:00-03:00,112.92735
2024-12-01T00:00:00-03:00,127.20855
2025-01-01T00:00:00-03:00,104.99217
2025-02-01T00:00:00-03:00,101.14034
2025-03-01T00:00:00-03:00,108.8761
2025-04-01T00:00:00-03:00,109.31549
2025-05-01T00:00:00-03:00,109.30394
2025-06-01T00:00:00-03:00,102.83476
2025-07-01T00:00:00-03:00,106.99766
2025-08-01T00:00:00-03:00,110.65212
2025-09-01T00:00:00-03:00,104.78473
